"","participant","age","place","item","value","agreement","Sum","Svartid"
"129","21795837","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","58 sekund"
"130","21795841","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","55 sekund"
"131","21795844","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","41 sekund"
"132","21795846","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","42 sekund"
"133","21795853","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","51 sekund"
"134","21795858","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","54 sekund"
"135","21795877","30-39","Ørsya","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","27 sekund"
"136","21795879","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 49 sekund"
"137","21795886","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 10 sekund"
"138","21795968","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","4 minutt 28 sekund"
"139","21795972","20-29","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 49 sekund"
"140","21795999","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","40 sekund"
"141","21796020","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","54 sekund"
"142","21796037","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"143","21796046","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 16 sekund"
"144","21796071","50-59","Sande","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","48 sekund"
"145","21796075","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt"
"146","21796078","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 34 sekund"
"147","21796079","30-39","Ørstinje","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 26 sekund"
